"tag"	"moltype"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
SA597_0209	cds	2.33270394998974	-0.0696336480840659	1.21554006282614	-0.0572861810265367	0.954317228218813	0.997707303814983
SA597_0210	cds	2.3954339099869	0.87082026029253	1.27178794461842	0.684721272895701	0.493519822578759	0.997707303814983
SA597_0211	cds	2.88678380143769	0.374938455570399	1.12696684302926	0.332696971423375	0.73936303589909	0.997707303814983
SA597_0212	cds	3.51309589871321	1.58514138218961	1.14922062083635	1.37931860379952	0.167796543040116	0.997707303814983
SA597_0213	cds	8.81726844804191	-0.263809352033776	0.71011326858626	-0.37150320055135	0.710262772556109	0.997707303814983
SA597_0214	cds	15.2515528426804	0.0206442251791188	0.506835067430259	0.0407316433012194	0.967509834814348	0.997707303814983
SA597_0215	cds	2.20960873284748	1.17261393939509	1.37447333321046	0.853136915109244	0.393583382177325	0.997707303814983
SA597_0216	cds	9.76437852424898	-0.974813570435693	0.637479960981578	-1.5291673936459	0.126222951598426	0.997707303814983
SA597_0217	cds	0.45230744723956	-1.53759929585362	2.90533375503062	-0.529233274212042	0.596643636927241	0.997707303814983
SA597_0218	cds	12.553251309421	-0.0252280719702531	0.561908165722405	-0.0448971442474397	0.964189293111464	0.997707303814983
SA597_0219	cds	56.9360917088311	0.197601730145945	0.300076544503474	0.658504417507571	0.51021405939565	0.997707303814983
SA597_0220	cds	0.483502921676957	1.73845658057681	2.70530459214716	0.642610294464856	0.520477001572131	0.997707303814983
SA597_0221	cds	0.529050579409997	1.87934974443938	2.61535939151561	0.718581832591005	0.472398610454254	0.997707303814983
SA597_0222	cds	1.24386157051204	0.716071917514493	1.70544767971446	0.419873283731801	0.674578025605181	0.997707303814983
SA597_0223	cds	0.150656145372399	-0.177667927559659	4.05235334539408	-0.0438431480220245	0.965029432985025	0.997707303814983
SA597_0224	cds	1.73811269021146	-0.585510941962769	1.47002760448334	-0.398299283752942	0.690409588372741	0.997707303814983
SA597_0225	cds	1.72027380138951	-0.407609530664991	1.44704276921378	-0.28168450811337	0.778185434410991	0.997707303814983
SA597_0226	cds	0.894816927286841	2.66098241548868	2.05718309848409	1.29350781534688	0.19583548279907	0.997707303814983
SA597_0227	cds	2.20046457079863	-0.936085462979712	1.33694205951321	-0.700169058426175	0.483821732376435	0.997707303814983
SA597_0228	cds	0	NA	NA	NA	NA	NA
SA597_0229	cds	0.332846776304559	1.23539005979376	3.1227775933907	0.39560616241401	0.692395590289112	0.997707303814983
SA597_0230	cds	0.318960009125331	-1.15055420503595	3.27349698673211	-0.351475565641054	0.72523160042813	0.997707303814983
SA597_0231	cds	1.37135556315836	-0.199614960315101	1.61844070958519	-0.123337827041105	0.9018395878454	0.997707303814983
SA597_0232	cds	0.17461790683331	-2.34090062098629	4.07704254714275	-0.574166345805449	0.565855240679958	0.997707303814983
SA597_0233	cds	0.71802066953895	-1.49445936322838	2.32617699936291	-0.642452987729515	0.520579104644802	0.997707303814983
SA597_0234	cds	0.392407606210877	1.40592556343952	2.94344743864836	0.477645887261068	0.632902264897537	0.997707303814983
SA597_0235	cds	1.37924586269269	0.129244405306472	1.58352857242544	0.0816179812332103	0.93495050204387	0.997707303814983
SA597_0236	cds	0	NA	NA	NA	NA	NA
SA597_0237	cds	0	NA	NA	NA	NA	NA
SA597_0238	cds	0.871654774560766	1.15442615618928	2.02599386700242	0.569807330116614	0.568808383351513	0.997707303814983
SA597_0239	cds	82.2702708919284	0.535473993423667	0.263150917512616	2.03485512604376	0.0418654523524434	0.997707303814983
SA597_0240	cds	8.66538639763023	-0.816283522731733	0.693677601824449	-1.17674770035074	0.23929622279762	0.997707303814983
SA597_0241	cds	1.77041622357198	-0.644572395643741	1.39746852541778	-0.461242871606747	0.644624366595084	0.997707303814983
SA597_0242	cds	0.840919897735841	-2.61144829761937	2.21123297930413	-1.18099192715604	0.237605930313127	0.997707303814983
SA597_0243	cds	2.29361335751407	-0.081165758321573	1.29236362198359	-0.0628041187022857	0.949922486096029	0.997707303814983
SA597_0244	cds	12.7039528216434	-0.429153985350318	0.537351222137494	-0.798647081592584	0.424495079347366	0.997707303814983
SA597_0245	cds	1.07694279277163	1.44725121636448	1.940059783194	0.745982793366196	0.455677809280446	0.997707303814983
SA597_0246	cds	3.36571588982834	-0.386625382664529	1.09622292170172	-0.352688650283239	0.724321869043701	0.997707303814983
SA597_0247	cds	0.637602442815188	0.368885291406103	2.37071265498649	0.155601013319856	0.876347526158675	0.997707303814983
SA597_0248	cds	1.51291087624239	-0.760113106871836	1.54135426275463	-0.493146270938001	0.621909238638552	0.997707303814983
SA597_0249	cds	8.45223728793881	-1.15681717069697	0.69278639200612	-1.66980354124328	0.0949582395325995	0.997707303814983
SA597_0250	cds	3.51060631619593	-1.631715848949	1.06278555348401	-1.53531993693359	0.124705259253291	0.997707303814983
SA597_0251	cds	0.150656145372399	-0.177667927559659	4.05235334539408	-0.0438431480220245	0.965029432985025	0.997707303814983
SA597_0252	cds	0.150656145372399	-0.177667927559659	4.05235334539408	-0.0438431480220245	0.965029432985025	0.997707303814983
SA597_0253	cds	0.346859948477837	1.20533040067517	3.11612266133635	0.386804542590844	0.69890091400536	0.997707303814983
SA597_0254	cds	0.144342102292021	-0.177667754954771	4.05235334135732	-0.0438431054719582	0.965029466902452	0.997707303814983
SA597_0255	cds	0.22016556456635	-1.48828503217419	3.72829227239271	-0.399186792085656	0.68975557452517	0.997707303814983
SA597_0256	cds	0.402165025057087	-1.22410913569193	3.01969876846293	-0.405374585199111	0.685202189433302	0.997707303814983
SA597_0257	cds	0.196203803105439	0.378601625027328	3.87864200700591	0.0976119023986921	0.922240472896931	0.997707303814983
SA597_0258	cds	0.17461790683331	-2.34090062098629	4.07704254714275	-0.574166345805449	0.565855240679958	0.997707303814983
SA597_0259	cds	0.962876495020897	0.0519255042363659	1.87008005182411	0.0277664606847802	0.977848416139213	0.997707303814983
SA597_0260	cds	0.559135213509864	-0.0730098874513212	2.71058745394898	-0.0269350790895734	0.978511514592441	0.997707303814983
SA597_0261	cds	0.287299118571519	1.00879633507558	3.31009808887493	0.304763275283622	0.760546453769343	0.997707303814983
SA597_0262	cds	0.792853352637019	0.378727851018387	2.14399979311013	0.17664546994615	0.859786875810503	0.997707303814983
SA597_0263	cds	0.855709717628229	1.21577491129636	2.03708150252977	0.596821928718385	0.550626275663869	0.997707303814983
SA597_0264	cds	0.17461790683331	-2.34090062098629	4.07704254714275	-0.574166345805449	0.565855240679958	0.997707303814983
SA597_0265	cds	3.00328312990623	-0.365111035344838	1.10725451380876	-0.329744454225722	0.741593060991314	0.997707303814983
SA597_0266	cds	1.2667558213959	-0.46181795411369	1.70571413264216	-0.270747568584856	0.786585188253338	0.997707303814983
SA597_0267	cds	0.89263857637226	-1.96428204567228	2.13179904890533	-0.921419890247597	0.356831248159072	0.997707303814983
SA597_0268	cds	4.65718493315556	-1.39923937344689	0.953709234105845	-1.46715510703716	0.142333866082052	0.997707303814983
SA597_0269	cds	1.56111891818937	1.02168303393476	1.62654495087401	0.628130832403839	0.529918236569743	0.997707303814983
SA597_0270	cds	1.29809913651424	-0.701526845019142	1.66959689782488	-0.420177376906413	0.674355880197945	0.997707303814983
SA597_0271	cds	1.20152359121591	0.32210960409853	1.80812353693269	0.178145794531804	0.858608478355471	0.997707303814983
SA597_0272	cds	0.04554765773304	-0.551291124646171	4.0621351136751	-0.135714620321284	0.892046889316486	0.997707303814983
SA597_0273	cds	0	NA	NA	NA	NA	NA
SA597_0274	cds	0	NA	NA	NA	NA	NA
SA597_0275	cds	0	NA	NA	NA	NA	NA
SA597_0276	cds	0.189889760025061	0.379107197203241	3.92795764333622	0.096515092988947	0.923111487414045	0.997707303814983
SA597_0277	cds	0.04554765773304	-0.551291124646171	4.0621351136751	-0.135714620321284	0.892046889316486	0.997707303814983
SA597_0278	cds	0.67247301180591	-1.86688973638427	2.37987844256027	-0.784447517569792	0.43277756570192	0.997707303814983
